queerfaith,gideonoliver
hisani_gebhardt,westhavenblast
uncarich854,77wabcrad
ameriphil,bannerite
southsalem,tahdeetz
shelbeyvan,latimes
eze12373,donlemon
teamlou23,mrpooni
madisonsturgill,bipartisanism
rmhmagpromo,rmhmagazine
cobreysr,maxblau
hopingforachang,joethemailman
clrih9,petedominick
mentalhealthnrd,reverendstarsky
ayoshekinah,antoniofrench
dorothyabrown,jamilsmith
desertlover46,marketwatch
thegrumpybitch,okwonga
klightsy_98,gywunyhu
anacabrera,cnn
justlistening94,abc
arkatechaasa,blackvoices
lalava1,ryanjreilly
nande_san,spookydweeb
prettywingsssss,alimanzano
mrchampagnepapi,repjohnlewis
mahsou_s,spotjso
pr0gressivist,occupywallstnyc
ughjacque,youranonnews
jefftomich,nycjim
lambo_murrcy,deray
magnacartman,mintpressnews
huntedhorse,wesb
sotiearra,nycmayorsoffice
cyril1863,jimhardman01
mindterrorist,wisdomsgrave
epi_febres,donlemon
marinagipps,tdagostinoinstl
knishette,occupythemob
r_radendew,bbcindonesia
zuny_nicolepink,cnn
dreamdefenders,snkhalifa
sluggod54,dccc
kc2stlchef,stlabubadu
stlpublicradio,bfreivogel
ryantaljonick,andrewchalland
waltsydneyjade,jennhoffman
wutangvideos,wutangclan4ever
treydaze_,mrdavidjohns
_janellerae,makewomencount
comrade_casey,just
chelsiaann,rabbleca
new_dunbar937,mrchuckd
lushhforever,vicenew
dekod123,jonswaine
therealbiostate,themurdochtimes
urbanreviewstl,twitter
sonyaabitxh,kobebryant
mentelokaa,avaetc
missb62,pari_passu
proudoftheusa,saintlouco
boyandpiano,fightfor15
tammy,fivethirtyeight
godislight81,michaelskolnik
a_standal,cmoraff
marlboro_kid,m_desagreable
boomturkey,feministing
hard_jax,gatewaypundit
patsolidarity,bryan_denson
amuses,leclemot
kathoderaytube,laurakeeney
amberrosespeaks,astrojohnjohn
jamesloganpdx,finallevel
aprilmalissia,livinlarge187
kerr_steve,presstv
tinarag49,motherjones
loubay225,rustymk2
_cymatics_,littlechicken
msheinz1,kenkl
cat7912,donnabrazile
kharyp,kharyp
lmlastla,aterkel
petbugs13,time
basketballgurud,theblackvoice
oaklandprivacy,jassideol86
pameladrew,pmocek
fromanlaura,deray
pianobar77,nettaaaaaaaa
b42archille,floeticjustice7
philliprprice,crewof42
shylohg,bipartisanism
prettygrlbad,stlcountypd
bad_like_mj,juddlegum
86groupthink,billmaher
r3pl4y,feenicks
kvassilakos,torontostar
quotergal,nvlevy
donnalburnell,revolttv
religionhiphop,f
bigelad,ryanjreilly
2_poco,masslivenews
morphusbfly,texyellowdogdem
jaccuse1,laureldavilacpa
samantha_storch,aucampuslife
randomsbyebbie,jamilsmith
jwhoopes2,bryancraw4d
maribelmaldo,huffingtonpost
cammeaney,rawstory
vjeannek,billhobbs
ideawoman10,wonderstacey
jonletman,groovesdc
avg__american,jason_pollock
alimcollins,ifalasteen
dutmstr3,xxl
estebandesade,youtube
jamesebosticii,jamalhbryant
shadirahimi,chriskingstl
imstoic,drtmarsh
bretonrouge,stlbizkmoffitt
lisasharper,pudcast245
ms_sarafina,jonssonville
dotofpaleblue,justinraimondo
journalproject,thetechceo
mdavidson23,markditroia
gofasterandfast,latimes
myself1234567,colinjones
gperry1000,billdeblasio
a_bassey,cnngo
lexyfreiling,occupythemob
hisfancygal,cnnsitroom
mrbenibo,thomas_a_moore
rah762001,thefinalcall
awkward_duck,awkward_duck
webprospector1,owslibrary
kneeshemuna,amnesty
bestmate8,realericyoung
solutioneer72,occupythehood
withadoublet,jose3030
jbug33,fwmj
malitosh,shaunking
snarky1b4,marley1216
allovevie,rapup
6inthebluff,stonedpooters
psalm11813,gatewaypu
doremusj,chrislhayes
monstermarcia,anon_online
big6domino,unclerush
socialmediafr51,book_tribe
staceyhopkinsga,rashvision
palmer2x,supermanhopkins
missb62,antoniofrench
tanyavach,wgby
maxxb,cnn
mpetroz1,tuxksdk
ponyexpress78,saturn5d
anony_mia,jelani9
mackreedee,macklemore
elmasarotic,deray
7d7,mattdpearce
evaldes1042,ijessewilliams
688tg941g77zod4,rightaboutnow2
bmwthedj,huffpostpol
dyslexicnoshame,ibossnicki
raemondjjjj,theryanparker
spacesuperhero,aterkel
steveleesr,lnonblonde
op_esr,lnonblonde
oblock300pooh,prescottgolf014
ronaleeakarose,kqednews
americanjustic3,sirtatters
oajfsdkgdffkgfd,bdoulaoblongata
alahnikeith,freewestpapua
southernsincere,cbsnews
progpoker,suffshakur
louisbrown16,wntonight
jayteesays,insanityreport
dalef3,sunnyhostin
gigageiwahya,wolfiemouse
kittyantonik,greegreece
norcalnative,rt_america
bongadlulane,tomolefe
kgoos2,ryanjreilly
shine4sho,thenation
eurybiah,eliottcnn
thefinest1_,ellypark07
schwartznewsny,vmramos
wusa9,wusa9
ordvi,justsayit65
rachesomerstein,6abc
bbcos,stevendialwltx
chestini,david_m_brooks
lainiweiz,david_ehg
krystaaldevi,jaychillinbro
curlycomediana,mashable
usaisover,patriotic_me
hownowbrowndowd,wyzechef
murandy_realtor,41actionnews
giorgiofiameni,time
cadettherapper,kxblyniee
rebeccaanicole,bobcusack
shion963,utcrimdefrox
kasandra_alexis,lisabloom
leeleemunster,_therightthing
jlownlaw,natjackesq
nickisdade82,kharyp
gbehzon,lnonblonde
nye_is_the_guy,freetopher
kitwyk,policylink
flamingogrrl,donorschoose
banjayb,michaelskolnik
russyoung8,jessicachasmar
drea5alive,salon
gangsherri,mandymurpheytv
angelsscream,attorneycrump
melvinamsmaria,pragobots
uncletrey_,sheseauxsaditty
tchopstl_,mattfredstl
zombiexzoe,nbcwashington
avocadodiaries,antoniofrench
sharaihurst,stlpublicradio
swaggotyanne,crysrocsurworld
fried_kimchi,willmcavoyacn
heavyloadcoming,kielo
walterhudson,enbrown
justscarlette,youranonnews
bearhair2000,texasinafrica
billschwulst,nettaaaaaaaa
hoffmpls,patrickdehahn
irukrysu,leonaledgy
beingnola,jsmooth995
marcysutton,misterjt
myblusuedeshoes,lostvoices14
stoplooklistent,claycut_records
t_bagger76,cnnbrk
sal_9k,micamaryjane
_cymatics_,opferguson
josh_painter,progstoday
therealmrb,terrimore1
johnssonyc,mcsole
lucmatte9,chevymo
bobschi,scotafed
kingdaceo,bmorebloc
steve_j_taylor,akil_n_awan
irishfiregirrl,mtgassr
j3rry0863,bertoclicq
jackandthehulk,jennabpope
skipnvrleft,antoniofrench
youwantjae,voice
monstermarcia,deray
harrattan,combat_jack
richcasa,popsspotsports
counselorfoyle,jebetz
kylefall,pharrell
starseed52,slb79
feminismkg,lexxaye
__melinda,slidinsolo
georgebaileydog,gavinesq
_essjayy,ohkahlais
biancajagger,nbcphiladelphia
g_c_hq,quinndouch
bryantplummer,blackvoices
dmatkins137,politics_pr
toneuwine,mariambarghouti
juafuma,paulageraghty
allison_sad,stevennelson10
fergwards,evan_greer
kingmike33,nettaaaaaaaa
seabiscuitaal,buzzfeednews
kimmieink,michaelskolnik
fabulousmissem,voxdotcom
chrisekowski,marlownyc
angrykurker,mhpshow
umojasasa,wyzechef
furkenfrank,youranonnews
iamrichardray,walldo
lipstick_pundit,laughingcorps
nataline_89,djolder
shuburgva,jillstanek
soostlouis,nettaaaaaaaa
diloandstitch,evknowlan
mikehigherent,deray
queenlizard54,joiamukherjee
macbionik,fightfortheftr
standsomemore,iowahawkblog
robcarpenter2,cnn
bmorestyle,morehouse
dsmtaylorj,phampel
kelloggie,wagnergirle
mathemattic,rustymk2
skindarealist,wyzechef
authorblkcoffee,mettawordlife83
andi_inspired,walkingbassist
iamgwoods,ryanjreilly
jon_elle,deray
progress4ohio1,krissybri
sunburstchicago,baynardwoods
traielcourt,rolandsmartin
vonnie932,bishopwsthomas
shawbear76,verywhiteguy
clantro,chris_1791
facinghistory,facinghistory
sage_gram,writersofcolour
maslowsneeds,againstbratton
chrissmithpfn,stephe96
henryfaber,meeeshmostdope
joonsgooz,ushrn
ecclesias,thinkprogress
alysonbluberry,elonjames
o10courtney,stlcountypd
dlatchison011,bassem_masri
misteprogram,siriusxm
thesafetychick,lisabloom
iamkaylajanay,peter_fries
geniusbastard,ktla
williebyrd,michaelskolnik
mr21962,deray
thedivaofldn,idriselba
jane_roh,themamafesto
will_j_bryan,neoprogressive1
winbush_velma,thedailyedge
useyurvote,natjackesq
ferventlovemedi,leoncecrump
pengjia18,antoniofrench
yoruba69,derrickharkins
b_lampster,shaunking
friz_the_shiz,lanceturpin_
spd_community,ossadvisors
zoemarisa15,fox5newsdc
woodruffcharles,drumbeats4peace
alexandraerin,karnythia
athenarising,hcookaustin
tmacppb1,bigboi
flexyourrights,flexyourri
allthingsbreigh,ineedja_kadeeja
brighterjustice,sideoflove
mr__ripley,blunted215
nolabookfair,thisisfusion
wjz,mayorsrb
bel_amourr,shegotcake___
adaptanita,thevikchick
1m_linesofcode,nettaaaaaaaa
presidentalgjr,ramon_hamilton
zzelda01,jack
lukeelliotts,bipartisanism
geekychic,d_towski
sincerely_lynn,reporterfaith
_esaliba,gettyimages
curlingriver,brflux
carolynsbuddy,mailonline
kdboggs11,youranonnews
mike_noble,sonsandbros
chick2694,youranonnews
major_intel,ajam
chronsofnon,cjwerleman
donnalburnell,baburrealer
zombirn,jadeymiss
stargazer_412,janetmock
molly1jo,deray
slamalis,parniarazi
anyalhas,chasestraight
southerngal918,tylermautz
mobvdetroit,jeremynewberger
juanchulo2,yungsig
bmorepocahontas,mrwhisperz
christsavesu,jaystylus
angelmorell1,georgekakayor
kathyangel2,linda_1187
yuriellayne,thejlv
handsupsanford,fuegopazzo
shroudsciuridae,thehill
charlie_cat16,tariqnasheed
fergy_bird,cbsnews
xeni,kmov
carlashedd,njlightfoot
rby239,talbertswan
